2013/11/12 19:53:55 INFO  - jmeter.services.FileServer: Close: 200users_woheader.csv@13389826 
2013/11/12 19:53:55 INFO  - jmeter.services.FileServer: Close: hosts.csv@13389826 
2013/11/12 19:53:55 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/12 20:01:11 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/12 20:01:11 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/12 20:01:11 WARN  - jmeter.reporters.ResultCollector: Error creating directories for /home/niels/jmeter/loginresults 
2013/11/12 20:01:11 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/12 20:01:11 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2013/11/12 20:01:11 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2013/11/12 20:01:11 INFO  - jmeter.engine.StandardJMeterEngine: Thread will stop on error 
2013/11/12 20:01:11 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 1 perThread 200.0 delayedStart=false 
2013/11/12 20:01:11 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2013/11/12 20:01:11 INFO  - jmeter.services.FileServer: Stored: debugflags.csv Alias: debugflags.csv@25335806 
2013/11/12 20:01:11 INFO  - jmeter.services.FileServer: Stored: hosts.csv Alias: hosts.csv@25335806 
2013/11/12 20:01:11 INFO  - jmeter.services.FileServer: Stored: 200users_woheader.csv Alias: 200users_woheader.csv@25335806 
2013/11/12 20:01:11 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/12 20:01:11 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/12 20:01:11 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2013/11/12 20:01:11 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2013/11/12 20:01:12 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2013/11/12 20:01:12 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2013/11/12 20:01:17 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-4 
2013/11/12 20:01:17 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2013/11/12 20:01:19 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2013/11/12 20:01:19 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-3 
2013/11/12 20:01:20 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-5 
2013/11/12 20:01:20 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/12 20:01:20 INFO  - jmeter.services.FileServer: Close: hosts.csv@25335806 
2013/11/12 20:01:20 INFO  - jmeter.services.FileServer: Close: 200users_woheader.csv@25335806 
2013/11/12 20:01:20 INFO  - jmeter.services.FileServer: Close: debugflags.csv@25335806 
2013/11/12 20:01:20 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/12 20:02:36 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/12 20:02:36 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/12 20:02:36 WARN  - jmeter.reporters.ResultCollector: Error creating directories for /home/niels/jmeter/loginresults 
2013/11/12 20:02:36 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/12 20:02:37 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2013/11/12 20:02:37 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2013/11/12 20:02:37 INFO  - jmeter.engine.StandardJMeterEngine: Thread will stop on error 
2013/11/12 20:02:37 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 1 perThread 200.0 delayedStart=false 
2013/11/12 20:02:37 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2013/11/12 20:02:37 INFO  - jmeter.services.FileServer: Stored: debugflags.csv Alias: debugflags.csv@23227501 
2013/11/12 20:02:37 INFO  - jmeter.services.FileServer: Stored: hosts.csv Alias: hosts.csv@23227501 
2013/11/12 20:02:37 INFO  - jmeter.services.FileServer: Stored: 200users_woheader.csv Alias: 200users_woheader.csv@23227501 
2013/11/12 20:02:37 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/12 20:02:37 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/12 20:02:37 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2013/11/12 20:02:37 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2013/11/12 20:02:37 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2013/11/12 20:02:38 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2013/11/12 20:02:42 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-4 
2013/11/12 20:02:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2013/11/12 20:02:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-3 
2013/11/12 20:02:45 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-5 
2013/11/12 20:02:46 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2013/11/12 20:02:46 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/12 20:02:46 INFO  - jmeter.services.FileServer: Close: hosts.csv@23227501 
2013/11/12 20:02:46 INFO  - jmeter.services.FileServer: Close: debugflags.csv@23227501 
2013/11/12 20:02:46 INFO  - jmeter.services.FileServer: Close: 200users_woheader.csv@23227501 
2013/11/12 20:02:46 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/12 20:25:06 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/12 20:25:06 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/12 20:25:06 WARN  - jmeter.reporters.ResultCollector: Error creating directories for /home/niels/jmeter/loginresults 
2013/11/12 20:25:06 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/12 20:25:07 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2013/11/12 20:25:07 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2013/11/12 20:25:07 INFO  - jmeter.engine.StandardJMeterEngine: Thread will stop on error 
2013/11/12 20:25:07 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 1 perThread 200.0 delayedStart=false 
2013/11/12 20:25:07 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2013/11/12 20:25:07 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/12 20:25:07 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/12 20:25:07 INFO  - jmeter.services.FileServer: Stored: debugflags.csv Alias: debugflags.csv@23564042 
2013/11/12 20:25:07 INFO  - jmeter.services.FileServer: Stored: hosts.csv Alias: hosts.csv@23564042 
2013/11/12 20:25:07 INFO  - jmeter.services.FileServer: Stored: 200users_woheader.csv Alias: 200users_woheader.csv@23564042 
2013/11/12 20:25:07 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2013/11/12 20:25:07 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2013/11/12 20:25:07 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2013/11/12 20:25:07 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2013/11/12 20:25:11 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-5 
2013/11/12 20:25:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-3 
2013/11/12 20:25:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2013/11/12 20:25:16 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2013/11/12 20:25:18 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-4 
2013/11/12 20:25:18 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/12 20:25:18 INFO  - jmeter.services.FileServer: Close: 200users_woheader.csv@23564042 
2013/11/12 20:25:18 INFO  - jmeter.services.FileServer: Close: debugflags.csv@23564042 
2013/11/12 20:25:18 INFO  - jmeter.services.FileServer: Close: hosts.csv@23564042 
2013/11/12 20:25:18 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/12 20:26:48 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/12 20:26:48 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/12 20:26:48 WARN  - jmeter.reporters.ResultCollector: Error creating directories for /home/niels/jmeter/loginresults 
2013/11/12 20:26:48 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/12 20:26:48 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2013/11/12 20:26:48 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2013/11/12 20:26:48 INFO  - jmeter.engine.StandardJMeterEngine: Thread will stop on error 
2013/11/12 20:26:48 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 1 perThread 200.0 delayedStart=false 
2013/11/12 20:26:48 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2013/11/12 20:26:48 INFO  - jmeter.services.FileServer: Stored: debugflags.csv Alias: debugflags.csv@22416257 
2013/11/12 20:26:48 INFO  - jmeter.services.FileServer: Stored: hosts.csv Alias: hosts.csv@22416257 
2013/11/12 20:26:48 INFO  - jmeter.services.FileServer: Stored: 200users_woheader.csv Alias: 200users_woheader.csv@22416257 
2013/11/12 20:26:48 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/12 20:26:48 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/12 20:26:48 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2013/11/12 20:26:48 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2013/11/12 20:26:49 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2013/11/12 20:26:49 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2013/11/12 20:26:52 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2013/11/12 20:26:56 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
